locationid,location,locationspecies
hirschfelden,"[""Hirschfelden""]","[""Canada Goose"",""Red Fox"",""Roe Deer"",""Fallow Deer"",""Wild Boar"",""Red Deer"",""European Bison""]"
laytonlakes,"[""Layton Lakes""]","[""Jackrabbit"",""Mallard"",""Coyote"",""Blacktail Deer"",""Whitetail Deer"",""Black Bear"",""Moose"",""Roosevelt Elk""]"
medvedtiaga,"[""Medved Tiaga""]","[""Musk Deer"",""Eurasian Lynx"",""Reindeer"",""Brown Bear""]"
vurhongasavanna,"[""Vurhonga Savanna""]","[""Scrub Hare"",""Side-Striped Jackal"",""Springbok"",""Lesser Kudu"",""Warthog"",""Blue Wildebeest"",""Gemsbok"",""Cape Buffalo"",""Lion""]"
parquefernando,"[""Parque Fernando""]","[""Cinnamon Teal"",""Axis Deer"",""Blackbuck"",""Puma"",""Mule Deer"",""Water Buffalo""]"
yukonvalley,"[""Yukon Valley""]","[""Harlequin Duck"",""Grey Wolf"",""Caribou"",""Grizzly Bear"",""Plains Bison""]"
cuatrocolinas,"[""Cuatro Colinas""]","[""European Hare"",""Beceite Ibex"",""Gredos Ibex"",""Iberian Mouflon"",""Ronda Ibex"",""Southeastern Ibex"",""Iberian Wolf""]"
silverridgepeaks,"[""Silver Ridge Peaks""]","[""Turkey"",""Bighorn Sheep"",""Mountain Goat"",""Pronghorn"",""Mountain Lion"",""Rocky Mountain Elk""]"
teawaroa,"[""Te Awaroa""]","[""European Rabbit"",""Chamois"",""Feral Goat"",""Feral Pig"",""Sika Deer""]"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
